transaction_id,user_id,merchant_id,amount,status,transaction_time
1,1310,15,131.8,approved,2024-01-05 13:16:00
2,1519,36,120.92,approved,2024-02-14 13:56:00
3,458,18,90.77,approved,2024-05-14 01:41:00
4,210,87,7.07,approved,2024-05-14 20:01:00
5,1828,70,191.85,approved,2024-01-16 19:50:00
6,1210,55,138.87,approved,2024-01-06 18:51:00
7,62,12,78.3,approved,2024-02-09 19:14:00
8,477,65,68.16,declined,2024-04-19 14:15:00
9,55,72,169.03,approved,2024-02-06 04:44:00
10,1467,84,30.58,approved,2024-05-07 16:08:00
11,1117,54,13.21,approved,2024-02-10 03:07:00
12,920,76,36.82,approved,2024-02-20 15:26:00
13,1658,112,93.54,approved,2024-01-02 04:23:00
14,1555,104,27.33,approved,2024-01-30 01:33:00
15,1430,55,10.26,approved,2024-03-02 22:34:00
16,570,20,5.41,approved,2024-02-09 04:43:00
17,1961,98,12.04,approved,2024-03-02 06:36:00
18,210,12,26.5,declined,2024-03-10 03:55:00
19,199,46,168.99,approved,2024-06-03 06:45:00
20,705,78,127.31,approved,2024-02-18 03:42:00
21,1653,6,349.78,approved,2024-05-12 20:14:00
22,941,69,11.84,approved,2024-01-23 17:22:00
23,1993,119,83.46,approved,2024-03-09 21:50:00
24,162,71,34.35,approved,2024-02-23 08:54:00
25,1699,81,261.46,approved,2024-04-22 14:21:00
26,1814,111,12.38,approved,2024-03-06 20:00:00
27,1183,25,142.43,approved,2024-05-08 06:19:00
28,143,6,85.86,approved,2024-04-30 09:06:00
29,467,99,73.99,approved,2024-02-22 16:21:00
30,164,110,56.88,approved,2024-02-12 09:04:00
31,1775,13,323.09,declined,2024-03-10 04:47:00
32,570,59,222.29,approved,2024-04-25 17:20:00
33,1709,47,55.61,approved,2024-01-30 14:38:00
34,759,46,209.28,approved,2024-02-08 03:21:00
35,1373,35,34.02,approved,2024-05-07 18:17:00
36,1919,88,80.74,approved,2024-04-27 23:18:00
37,147,78,36.57,approved,2024-04-25 14:15:00
38,351,69,39.44,approved,2024-05-12 17:36:00
