order_id,customer_id,order_date,order_status,payment_method
1,287,2023-03-31,Completed,Debit Card
2,205,2024-03-05,Cancelled,Debit Card
3,557,2024-10-07,Completed,Net Banking
4,492,2024-01-03,Cancelled,Net Banking
5,580,2023-12-19,Cancelled,UPI
6,277,2024-02-02,Completed,Credit Card
7,612,2023-11-23,Completed,Credit Card
8,60,2023-10-15,Completed,Wallet
9,786,2024-01-02,Cancelled,Debit Card
10,103,2023-06-13,Completed,Debit Card
11,547,2023-09-30,Completed,Debit Card
12,398,2024-08-12,Completed,Debit Card
13,243,2023-06-30,Cancelled,UPI
14,606,2024-01-03,Completed,UPI
15,578,2024-08-04,Completed,Wallet
16,505,2023-07-12,Cancelled,UPI
17,503,2023-06-29,Completed,Credit Card
18,239,2023-02-27,Cancelled,Debit Card
19,540,2023-01-21,Completed,Credit Card
20,629,2023-12-06,Completed,Debit Card
21,735,2023-12-15,Completed,UPI
22,23,2023-03-02,Completed,Wallet
23,793,2023-05-26,Completed,Wallet
24,75,2024-01-09,Completed,Net Banking
25,104,2024-08-23,Completed,UPI
26,140,2023-11-27,Completed,Net Banking
27,499,2024-10-16,Completed,Debit Card
28,711,2024-07-29,Cancelled,UPI
29,682,2023-08-17,Cancelled,Debit Card
30,315,2024-01-23,Completed,Debit Card
31,747,2023-07-01,Completed,Wallet
32,790,2024-02-05,Cancelled,Credit Card
33,617,2023-07-06,Completed,Wallet
34,655,2023-08-15,Cancelled,Credit Card
35,145,2024-05-23,Completed,Credit Card
36,356,2023-09-01,Completed,Debit Card
37,91,2024-10-13,Completed,Net Banking
38,272,2023-01-12,Completed,Debit Card
39,359,2023-03-11,Completed,Credit Card
40,50,2023-01-02,Completed,Net Banking
41,171,2024-03-05,Completed,Net Banking
42,360,2024-01-23,Cancelled,Net Banking
43,491,2023-04-14,Cancelled,Debit Card
44,463,2023-06-16,Completed,Credit Card
45,21,2023-10-29,Completed,UPI
46,76,2023-04-18,Completed,Debit Card
47,165,2024-01-20,Completed,Wallet
48,347,2023-04-06,Cancelled,Wallet
49,722,2024-05-09,Completed,Net Banking
50,169,2024-10-31,Cancelled,Net Banking
51,55,2023-06-10,Completed,UPI
52,195,2023-07-30,Completed,Wallet
53,272,2024-07-07,Completed,UPI
54,99,2023-09-01,Completed,Net Banking
55,563,2024-08-08,Completed,Debit Card
56,370,2023-02-25,Completed,Net Banking
57,302,2023-03-31,Cancelled,Net Banking
58,100,2023-07-24,Completed,Debit Card
59,654,2023-06-24,Completed,Credit Card
60,119,2024-04-29,Completed,Net Banking
61,501,2024-04-27,Completed,Credit Card
62,558,2024-10-19,Completed,Debit Card
63,391,2024-01-15,Completed,Debit Card
64,46,2024-04-01,Completed,Net Banking
65,270,2024-04-21,Completed,UPI
66,64,2024-07-31,Completed,Credit Card
67,685,2023-03-29,Completed,Wallet
68,775,2024-02-28,Cancelled,Debit Card
69,63,2024-07-20,Completed,Wallet
70,549,2024-03-04,Completed,Wallet
71,488,2023-08-30,Completed,Credit Card
72,732,2024-02-09,Completed,Wallet
73,530,2024-08-07,Cancelled,Wallet
74,124,2023-05-31,Completed,Debit Card
75,217,2023-06-21,Completed,Debit Card
76,434,2023-02-13,Completed,Net Banking
77,643,2023-07-26,Completed,Wallet
78,328,2023-09-22,Completed,Credit Card
79,570,2024-02-02,Completed,Wallet
80,283,2023-11-30,Cancelled,Net Banking
81,718,2023-01-13,Cancelled,Wallet
82,430,2024-06-19,Completed,Net Banking
83,152,2023-06-03,Cancelled,Wallet
84,777,2024-08-19,Completed,Credit Card
85,799,2024-07-30,Completed,UPI
86,353,2024-07-02,Completed,UPI
87,671,2024-01-28,Completed,Wallet
88,485,2024-09-15,Completed,Debit Card
89,413,2023-10-10,Completed,Wallet
90,698,2024-09-15,Completed,Credit Card
91,340,2024-02-10,Completed,Credit Card
92,276,2024-05-01,Completed,Credit Card
93,311,2023-12-12,Completed,UPI
94,713,2024-05-18,Completed,Debit Card
95,308,2023-05-18,Completed,UPI
96,747,2023-10-03,Completed,Wallet
97,92,2024-10-23,Completed,Net Banking
98,417,2023-08-05,Completed,Wallet
99,58,2024-01-18,Cancelled,Debit Card
100,319,2023-03-09,Cancelled,Net Banking
101,800,2023-05-19,Cancelled,Wallet
102,178,2023-01-30,Completed,Debit Card
103,256,2023-03-01,Completed,Net Banking
104,370,2023-02-21,Completed,UPI
105,476,2024-01-13,Cancelled,Net Banking
106,127,2024-10-12,Completed,Debit Card
107,501,2024-01-17,Cancelled,Net Banking
108,486,2023-07-01,Cancelled,Wallet
109,353,2023-12-25,Completed,UPI
110,292,2023-04-03,Completed,Net Banking
111,167,2023-02-20,Cancelled,Debit Card
112,663,2023-08-15,Completed,Debit Card
113,668,2023-10-03,Completed,Wallet
114,800,2023-01-21,Completed,Net Banking
115,663,2023-05-16,Completed,Wallet
116,230,2023-01-09,Completed,Wallet
117,730,2023-11-09,Completed,Net Banking
118,358,2024-01-21,Completed,UPI
119,478,2023-08-12,Completed,Wallet
120,407,2024-09-30,Cancelled,Credit Card
121,524,2023-01-08,Completed,Wallet
122,609,2024-10-24,Cancelled,UPI
123,701,2023-11-02,Completed,Net Banking
124,345,2023-03-07,Completed,UPI
125,268,2023-10-11,Completed,Debit Card
126,530,2023-06-03,Completed,Credit Card
127,414,2024-09-06,Completed,Debit Card
128,672,2023-01-27,Completed,UPI
129,429,2023-09-23,Completed,Net Banking
130,598,2023-02-06,Cancelled,Debit Card
131,744,2023-12-18,Completed,Wallet
132,488,2024-10-15,Completed,Wallet
133,175,2023-11-04,Cancelled,Debit Card
134,100,2023-10-28,Completed,Debit Card
135,743,2023-09-22,Cancelled,Debit Card
136,344,2024-11-27,Completed,Debit Card
